parcel_id,area_da,area_m2,source
P124,40.0,40000.0,kemerhisar_2024_duzeltilmis_v5.xlsx / P03
P125,11.0,11000.0,kemerhisar_2024_duzeltilmis_v5.xlsx / P04
P126,75.0,75000.0,kemerhisar_2024_duzeltilmis_v5.xlsx / P05
P127,650.0,650000.0,kemerhisar_2024_duzeltilmis_v5.xlsx / P06
P128,153.0,153000.0,kemerhisar_2024_duzeltilmis_v5.xlsx / P07
P129,630.0,630000.0,kemerhisar_2024_duzeltilmis_v5.xlsx / P08
P130,2800.0,2800000.0,kemerhisar_2024_duzeltilmis_v5.xlsx / P09
P131,130.0,130000.0,kemerhisar_2024_duzeltilmis_v5.xlsx / P10
P132,350.0,350000.0,kemerhisar_2024_duzeltilmis_v5.xlsx / P11
P133,2765.0,2765000.0,kemerhisar_2024_duzeltilmis_v5.xlsx / P12
P134,850.0,850000.0,kemerhisar_2024_duzeltilmis_v5.xlsx / P13
P135,7.0,7000.0,kemerhisar_2024_duzeltilmis_v5.xlsx / P14
P136,5.0,5000.0,kemerhisar_2024_duzeltilmis_v5.xlsx / P15
P137,590.0,590000.0,kemerhisar_2024_duzeltilmis_v5.xlsx / P16
P138,120.0,120000.0,kemerhisar_2024_duzeltilmis_v5.xlsx / P17
P139,5400.0,5400000.0,kemerhisar_2024_duzeltilmis_v5.xlsx / P18
P140,5.0,5000.0,kemerhisar_2024_duzeltilmis_v5.xlsx / P19
P141,1.0,1000.0,kemerhisar_2024_duzeltilmis_v5.xlsx / P20
P142,4.0,4000.0,kemerhisar_2024_duzeltilmis_v5.xlsx / P21
P143,100.0,100000.0,kemerhisar_2024_duzeltilmis_v5.xlsx / P22
P144,200.0,200000.0,kemerhisar_2024_duzeltilmis_v5.xlsx / P23
P145,65.0,65000.0,kemerhisar_2024_duzeltilmis_v5.xlsx / P24
P146,40.0,40000.0,kemerhisar_2024_duzeltilmis_v5.xlsx / P25
P147,2800.0,2800000.0,kemerhisar_2024_duzeltilmis_v5.xlsx / P26
P148,50.0,50000.0,kemerhisar_2024_duzeltilmis_v5.xlsx / P27
P149,9546.0,9546000.0,kemerhisar_2024_duzeltilmis_v5.xlsx / P28
P150,30.0,30000.0,kemerhisar_2024_duzeltilmis_v5.xlsx / P29
P151,356.0,356000.0,kemerhisar_2024_duzeltilmis_v5.xlsx / P30
P152,15.0,15000.0,kemerhisar_2024_duzeltilmis_v5.xlsx / P31
P153,16.0,16000.0,kemerhisar_2024_duzeltilmis_v5.xlsx / P32
P154,8.0,8000.0,kemerhisar_2024_duzeltilmis_v5.xlsx / P33
P155,43.0,43000.0,kemerhisar_2024_duzeltilmis_v5.xlsx / P34
P156,597.0,597000.0,kemerhisar_2024_duzeltilmis_v5.xlsx / P35
P157,725.0,725000.0,kaynarca_2024_duzeltilmis_v5.xlsx / P01
P158,878.0,878000.0,kaynarca_2024_duzeltilmis_v5.xlsx / P02
P159,25.0,25000.0,kaynarca_2024_duzeltilmis_v5.xlsx / P03
P160,15.0,15000.0,kaynarca_2024_duzeltilmis_v5.xlsx / P04
P161,30.0,30000.0,kaynarca_2024_duzeltilmis_v5.xlsx / P05
P162,145.0,145000.0,kaynarca_2024_duzeltilmis_v5.xlsx / P06
P163,30.0,30000.0,kaynarca_2024_duzeltilmis_v5.xlsx / P07
P164,70.0,70000.0,kaynarca_2024_duzeltilmis_v5.xlsx / P08
P165,250.0,250000.0,kaynarca_2024_duzeltilmis_v5.xlsx / P09
P166,5150.0,5150000.0,kaynarca_2024_duzeltilmis_v5.xlsx / P10
P167,10.0,10000.0,kaynarca_2024_duzeltilmis_v5.xlsx / P11
P168,2148.0,2148000.0,kaynarca_2024_duzeltilmis_v5.xlsx / P12
P169,60.0,60000.0,kaynarca_2024_duzeltilmis_v5.xlsx / P13
P170,2.0,2000.0,kaynarca_2024_duzeltilmis_v5.xlsx / P14
P171,11.0,11000.0,kaynarca_2024_duzeltilmis_v5.xlsx / P15
P172,2.0,2000.0,kaynarca_2024_duzeltilmis_v5.xlsx / P16
P173,350.0,350000.0,kaynarca_2024_duzeltilmis_v5.xlsx / P17
P174,79.0,79000.0,kaynarca_2024_duzeltilmis_v5.xlsx / P18
P175,130.0,130000.0,kaynarca_2024_duzeltilmis_v5.xlsx / P19
P176,40.0,40000.0,kaynarca_2024_duzeltilmis_v5.xlsx / P20
P177,3.0,3000.0,kaynarca_2024_duzeltilmis_v5.xlsx / P21
P178,6.0,6000.0,kaynarca_2024_duzeltilmis_v5.xlsx / P22
P179,32.0,32000.0,kaynarca_2024_duzeltilmis_v5.xlsx / P23
